game_index,pair_index,seed,grid_size,superko_mode,black_slot,white_slot,black_agent,white_agent,winner,truncated,plies,duration_seconds,black_area,white_area
0,0,20260825,5,enforce,A,B,alphazero-topology_gnn-7180ca466e1f,random,BLACK,False,3,0.33960280008614063,3,0
1,0,20260825,5,enforce,B,A,random,alphazero-topology_gnn-7180ca466e1f,WHITE,False,9,0.44853880000300705,3,9
2,1,20260826,5,enforce,A,B,alphazero-topology_gnn-7180ca466e1f,random,BLACK,False,7,0.38850759994238615,9,5
3,1,20260826,5,enforce,B,A,random,alphazero-topology_gnn-7180ca466e1f,WHITE,False,6,0.31399759999476373,0,5
4,2,20260827,5,enforce,A,B,alphazero-topology_gnn-7180ca466e1f,random,BLACK,False,11,0.6773085000459105,6,3
5,2,20260827,5,enforce,B,A,random,alphazero-topology_gnn-7180ca466e1f,DRAW,False,2,0.08544870000332594,0,0
6,3,20260828,5,enforce,A,B,alphazero-topology_gnn-7180ca466e1f,random,BLACK,False,5,0.2892297999933362,5,0
7,3,20260828,5,enforce,B,A,random,alphazero-topology_gnn-7180ca466e1f,WHITE,False,6,0.2490313001908362,4,6
8,4,20260829,5,enforce,A,B,alphazero-topology_gnn-7180ca466e1f,random,BLACK,False,5,0.2907912000082433,5,0
9,4,20260829,5,enforce,B,A,random,alphazero-topology_gnn-7180ca466e1f,WHITE,False,8,0.5623729999642819,0,10
10,5,20260830,5,enforce,A,B,alphazero-topology_gnn-7180ca466e1f,random,BLACK,False,3,0.1499443999491632,3,0
11,5,20260830,5,enforce,B,A,random,alphazero-topology_gnn-7180ca466e1f,WHITE,False,8,0.49180549988523126,0,10
12,6,20260831,5,enforce,A,B,alphazero-topology_gnn-7180ca466e1f,random,BLACK,False,3,0.16489079990424216,3,0
13,6,20260831,5,enforce,B,A,random,alphazero-topology_gnn-7180ca466e1f,WHITE,False,9,0.5905943000689149,3,9
14,7,20260832,5,enforce,A,B,alphazero-topology_gnn-7180ca466e1f,random,BLACK,False,9,0.5777040999382734,7,3
15,7,20260832,5,enforce,B,A,random,alphazero-topology_gnn-7180ca466e1f,WHITE,False,6,0.27858739998191595,0,5
16,8,20260833,5,enforce,A,B,alphazero-topology_gnn-7180ca466e1f,random,BLACK,False,9,0.581864699954167,8,5
17,8,20260833,5,enforce,B,A,random,alphazero-topology_gnn-7180ca466e1f,DRAW,False,2,0.042675099801272154,0,0
18,9,20260834,5,enforce,A,B,alphazero-topology_gnn-7180ca466e1f,random,BLACK,False,3,0.1315003999043256,3,0
19,9,20260834,5,enforce,B,A,random,alphazero-topology_gnn-7180ca466e1f,WHITE,False,9,0.642689400119707,3,9
20,10,20260835,5,enforce,A,B,alphazero-topology_gnn-7180ca466e1f,random,BLACK,False,9,0.5203595999628305,9,3
21,10,20260835,5,enforce,B,A,random,alphazero-topology_gnn-7180ca466e1f,WHITE,False,8,0.4226420000195503,0,10
22,11,20260836,5,enforce,A,B,alphazero-topology_gnn-7180ca466e1f,random,WHITE,False,12,0.6412720999214798,4,10
23,11,20260836,5,enforce,B,A,random,alphazero-topology_gnn-7180ca466e1f,DRAW,False,2,0.046419400023296475,0,0
24,12,20260837,5,enforce,A,B,alphazero-topology_gnn-7180ca466e1f,random,BLACK,False,5,0.26798009988851845,5,0
25,12,20260837,5,enforce,B,A,random,alphazero-topology_gnn-7180ca466e1f,WHITE,False,4,0.17802789993584156,0,3
26,13,20260838,5,enforce,A,B,alphazero-topology_gnn-7180ca466e1f,random,BLACK,False,10,0.5371622000820935,9,5
27,13,20260838,5,enforce,B,A,random,alphazero-topology_gnn-7180ca466e1f,DRAW,False,2,0.042635299963876605,0,0
28,14,20260839,5,enforce,A,B,alphazero-topology_gnn-7180ca466e1f,random,BLACK,False,3,0.15939359995536506,3,0
29,14,20260839,5,enforce,B,A,random,alphazero-topology_gnn-7180ca466e1f,WHITE,False,6,0.25809599994681776,0,5
30,15,20260840,5,enforce,A,B,alphazero-topology_gnn-7180ca466e1f,random,WHITE,False,13,0.6332344000693411,5,7
31,15,20260840,5,enforce,B,A,random,alphazero-topology_gnn-7180ca466e1f,WHITE,False,7,0.26593329990282655,0,5
32,16,20260841,5,enforce,A,B,alphazero-topology_gnn-7180ca466e1f,random,BLACK,False,9,0.5237461999058723,8,6
33,16,20260841,5,enforce,B,A,random,alphazero-topology_gnn-7180ca466e1f,WHITE,False,4,0.1707622001413256,0,3
34,17,20260842,5,enforce,A,B,alphazero-topology_gnn-7180ca466e1f,random,BLACK,False,7,0.5795066000428051,7,0
35,17,20260842,5,enforce,B,A,random,alphazero-topology_gnn-7180ca466e1f,WHITE,False,6,0.36674059997312725,0,5
36,18,20260843,5,enforce,A,B,alphazero-topology_gnn-7180ca466e1f,random,BLACK,False,5,0.38117869989946485,5,0
37,18,20260843,5,enforce,B,A,random,alphazero-topology_gnn-7180ca466e1f,WHITE,False,6,0.37787969992496073,0,5
38,19,20260844,5,enforce,A,B,alphazero-topology_gnn-7180ca466e1f,random,BLACK,False,7,0.5881875001359731,7,0
39,19,20260844,5,enforce,B,A,random,alphazero-topology_gnn-7180ca466e1f,WHITE,False,9,0.5835468000732362,3,9
40,20,20260845,5,enforce,A,B,alphazero-topology_gnn-7180ca466e1f,random,BLACK,False,3,0.17343379999510944,3,0
41,20,20260845,5,enforce,B,A,random,alphazero-topology_gnn-7180ca466e1f,WHITE,False,6,0.32992779999040067,0,5
42,21,20260846,5,enforce,A,B,alphazero-topology_gnn-7180ca466e1f,random,BLACK,False,7,0.5213322001509368,6,4
43,21,20260846,5,enforce,B,A,random,alphazero-topology_gnn-7180ca466e1f,WHITE,False,6,0.2736326998565346,0,4
44,22,20260847,5,enforce,A,B,alphazero-topology_gnn-7180ca466e1f,random,BLACK,False,7,0.5173734000418335,9,5
45,22,20260847,5,enforce,B,A,random,alphazero-topology_gnn-7180ca466e1f,WHITE,False,6,0.36122469999827445,0,5
46,23,20260848,5,enforce,A,B,alphazero-topology_gnn-7180ca466e1f,random,BLACK,False,7,0.5459565999917686,7,0
47,23,20260848,5,enforce,B,A,random,alphazero-topology_gnn-7180ca466e1f,WHITE,False,6,0.368274699896574,0,5
48,24,20260849,5,enforce,A,B,alphazero-topology_gnn-7180ca466e1f,random,BLACK,False,5,0.3616222001146525,5,0
49,24,20260849,5,enforce,B,A,random,alphazero-topology_gnn-7180ca466e1f,WHITE,False,6,0.335040400037542,3,5
50,25,20260850,5,enforce,A,B,alphazero-topology_gnn-7180ca466e1f,random,BLACK,False,5,0.2809566999785602,5,0
51,25,20260850,5,enforce,B,A,random,alphazero-topology_gnn-7180ca466e1f,BLACK,False,11,0.5035828999243677,7,5
52,26,20260851,5,enforce,A,B,alphazero-topology_gnn-7180ca466e1f,random,BLACK,False,5,0.27451390004716814,5,0
53,26,20260851,5,enforce,B,A,random,alphazero-topology_gnn-7180ca466e1f,WHITE,False,9,0.4665129000786692,3,9
54,27,20260852,5,enforce,A,B,alphazero-topology_gnn-7180ca466e1f,random,BLACK,False,10,0.5243254001252353,6,3
55,27,20260852,5,enforce,B,A,random,alphazero-topology_gnn-7180ca466e1f,WHITE,False,10,0.47276580007746816,5,6
56,28,20260853,5,enforce,A,B,alphazero-topology_gnn-7180ca466e1f,random,BLACK,False,9,0.5305008001159877,8,5
57,28,20260853,5,enforce,B,A,random,alphazero-topology_gnn-7180ca466e1f,WHITE,False,9,0.45735789998434484,6,7
58,29,20260854,5,enforce,A,B,alphazero-topology_gnn-7180ca466e1f,random,BLACK,False,9,0.5264534999150783,6,3
59,29,20260854,5,enforce,B,A,random,alphazero-topology_gnn-7180ca466e1f,WHITE,False,9,0.6092709999065846,3,9
60,30,20260855,5,enforce,A,B,alphazero-topology_gnn-7180ca466e1f,random,BLACK,False,5,0.2956185999792069,5,0
61,30,20260855,5,enforce,B,A,random,alphazero-topology_gnn-7180ca466e1f,DRAW,False,2,0.04346610000357032,0,0
62,31,20260856,5,enforce,A,B,alphazero-topology_gnn-7180ca466e1f,random,BLACK,False,5,0.26030570012517273,5,0
63,31,20260856,5,enforce,B,A,random,alphazero-topology_gnn-7180ca466e1f,WHITE,False,8,0.42991379997693,0,10
64,32,20260857,5,enforce,A,B,alphazero-topology_gnn-7180ca466e1f,random,BLACK,False,3,0.1468289999756962,3,0
65,32,20260857,5,enforce,B,A,random,alphazero-topology_gnn-7180ca466e1f,WHITE,False,7,0.2865252001211047,6,7
66,33,20260858,5,enforce,A,B,alphazero-topology_gnn-7180ca466e1f,random,BLACK,False,7,0.4292134998831898,7,0
67,33,20260858,5,enforce,B,A,random,alphazero-topology_gnn-7180ca466e1f,DRAW,False,4,0.21436610003001988,3,3
68,34,20260859,5,enforce,A,B,alphazero-topology_gnn-7180ca466e1f,random,BLACK,False,9,0.492138700094074,7,5
69,34,20260859,5,enforce,B,A,random,alphazero-topology_gnn-7180ca466e1f,DRAW,False,2,0.03941319999285042,0,0
70,35,20260860,5,enforce,A,B,alphazero-topology_gnn-7180ca466e1f,random,BLACK,False,7,0.4095691000111401,4,3
71,35,20260860,5,enforce,B,A,random,alphazero-topology_gnn-7180ca466e1f,WHITE,False,6,0.3136041001416743,0,4
72,36,20260861,5,enforce,A,B,alphazero-topology_gnn-7180ca466e1f,random,BLACK,False,3,0.16559420013800263,3,0
73,36,20260861,5,enforce,B,A,random,alphazero-topology_gnn-7180ca466e1f,DRAW,False,2,0.04241290013305843,0,0
74,37,20260862,5,enforce,A,B,alphazero-topology_gnn-7180ca466e1f,random,BLACK,False,9,0.4594570000190288,8,6
75,37,20260862,5,enforce,B,A,random,alphazero-topology_gnn-7180ca466e1f,DRAW,False,6,0.31699900003150105,4,4
76,38,20260863,5,enforce,A,B,alphazero-topology_gnn-7180ca466e1f,random,BLACK,False,3,0.14138339995406568,3,0
77,38,20260863,5,enforce,B,A,random,alphazero-topology_gnn-7180ca466e1f,WHITE,False,9,0.4653904000297189,3,9
78,39,20260864,5,enforce,A,B,alphazero-topology_gnn-7180ca466e1f,random,BLACK,False,3,0.14413680019788444,3,0
79,39,20260864,5,enforce,B,A,random,alphazero-topology_gnn-7180ca466e1f,WHITE,False,6,0.3274037998635322,0,5
80,40,20260865,5,enforce,A,B,alphazero-topology_gnn-7180ca466e1f,random,BLACK,False,11,0.5969281999859959,6,3
81,40,20260865,5,enforce,B,A,random,alphazero-topology_gnn-7180ca466e1f,DRAW,False,2,0.05324720009230077,0,0
82,41,20260866,5,enforce,A,B,alphazero-topology_gnn-7180ca466e1f,random,BLACK,False,5,0.287076200125739,5,0
83,41,20260866,5,enforce,B,A,random,alphazero-topology_gnn-7180ca466e1f,WHITE,False,8,0.4137695000972599,4,7
84,42,20260867,5,enforce,A,B,alphazero-topology_gnn-7180ca466e1f,random,BLACK,False,11,0.5745208999142051,6,3
85,42,20260867,5,enforce,B,A,random,alphazero-topology_gnn-7180ca466e1f,WHITE,False,8,0.3572697998024523,4,6
86,43,20260868,5,enforce,A,B,alphazero-topology_gnn-7180ca466e1f,random,WHITE,False,12,0.5982055000495166,4,10
87,43,20260868,5,enforce,B,A,random,alphazero-topology_gnn-7180ca466e1f,WHITE,False,4,0.14549300004728138,0,3
88,44,20260869,5,enforce,A,B,alphazero-topology_gnn-7180ca466e1f,random,BLACK,False,7,0.4383785999380052,7,4
89,44,20260869,5,enforce,B,A,random,alphazero-topology_gnn-7180ca466e1f,DRAW,False,2,0.05209889984689653,0,0
90,45,20260870,5,enforce,A,B,alphazero-topology_gnn-7180ca466e1f,random,BLACK,False,5,0.29724349989555776,5,0
91,45,20260870,5,enforce,B,A,random,alphazero-topology_gnn-7180ca466e1f,WHITE,False,8,0.36122959991917014,5,7
92,46,20260871,5,enforce,A,B,alphazero-topology_gnn-7180ca466e1f,random,BLACK,False,9,0.5692485000472516,8,6
93,46,20260871,5,enforce,B,A,random,alphazero-topology_gnn-7180ca466e1f,WHITE,False,9,0.5327634001150727,6,8
94,47,20260872,5,enforce,A,B,alphazero-topology_gnn-7180ca466e1f,random,BLACK,False,9,0.5647428999654949,7,3
95,47,20260872,5,enforce,B,A,random,alphazero-topology_gnn-7180ca466e1f,DRAW,False,2,0.042055799858644605,0,0
96,48,20260873,5,enforce,A,B,alphazero-topology_gnn-7180ca466e1f,random,BLACK,False,5,0.27831600001081824,5,0
97,48,20260873,5,enforce,B,A,random,alphazero-topology_gnn-7180ca466e1f,BLACK,False,10,0.4889907001052052,7,6
98,49,20260874,5,enforce,A,B,alphazero-topology_gnn-7180ca466e1f,random,BLACK,False,5,0.2875759000889957,5,0
99,49,20260874,5,enforce,B,A,random,alphazero-topology_gnn-7180ca466e1f,WHITE,False,6,0.3086747000925243,3,5
100,50,20260875,5,enforce,A,B,alphazero-topology_gnn-7180ca466e1f,random,BLACK,False,3,0.11843379982747138,3,0
101,50,20260875,5,enforce,B,A,random,alphazero-topology_gnn-7180ca466e1f,WHITE,False,6,0.28475699992850423,0,5
102,51,20260876,5,enforce,A,B,alphazero-topology_gnn-7180ca466e1f,random,BLACK,False,9,0.5272273998707533,8,5
103,51,20260876,5,enforce,B,A,random,alphazero-topology_gnn-7180ca466e1f,DRAW,False,2,0.05326370010152459,0,0
104,52,20260877,5,enforce,A,B,alphazero-topology_gnn-7180ca466e1f,random,BLACK,False,5,0.29250239999964833,5,0
105,52,20260877,5,enforce,B,A,random,alphazero-topology_gnn-7180ca466e1f,BLACK,False,10,0.5005105000454932,7,4
106,53,20260878,5,enforce,A,B,alphazero-topology_gnn-7180ca466e1f,random,BLACK,False,7,0.39356149989180267,7,0
107,53,20260878,5,enforce,B,A,random,alphazero-topology_gnn-7180ca466e1f,DRAW,False,4,0.18902930011972785,3,3
108,54,20260879,5,enforce,A,B,alphazero-topology_gnn-7180ca466e1f,random,BLACK,False,10,0.523554100189358,6,3
109,54,20260879,5,enforce,B,A,random,alphazero-topology_gnn-7180ca466e1f,WHITE,False,8,0.40639039990492165,3,7
110,55,20260880,5,enforce,A,B,alphazero-topology_gnn-7180ca466e1f,random,BLACK,False,7,0.37735119997523725,7,0
111,55,20260880,5,enforce,B,A,random,alphazero-topology_gnn-7180ca466e1f,WHITE,False,6,0.2722227999474853,4,6
112,56,20260881,5,enforce,A,B,alphazero-topology_gnn-7180ca466e1f,random,BLACK,False,3,0.1294519999064505,3,0
113,56,20260881,5,enforce,B,A,random,alphazero-topology_gnn-7180ca466e1f,DRAW,False,2,0.04165109992027283,0,0
114,57,20260882,5,enforce,A,B,alphazero-topology_gnn-7180ca466e1f,random,BLACK,False,9,0.564546599984169,7,5
115,57,20260882,5,enforce,B,A,random,alphazero-topology_gnn-7180ca466e1f,WHITE,False,4,0.14978659991174936,0,3
116,58,20260883,5,enforce,A,B,alphazero-topology_gnn-7180ca466e1f,random,BLACK,False,11,0.7332731001079082,8,6
117,58,20260883,5,enforce,B,A,random,alphazero-topology_gnn-7180ca466e1f,WHITE,False,9,0.5852838000282645,3,9
118,59,20260884,5,enforce,A,B,alphazero-topology_gnn-7180ca466e1f,random,BLACK,False,3,0.1472020000219345,3,0
119,59,20260884,5,enforce,B,A,random,alphazero-topology_gnn-7180ca466e1f,WHITE,False,6,0.2692003999836743,0,5
120,60,20260885,5,enforce,A,B,alphazero-topology_gnn-7180ca466e1f,random,BLACK,False,5,0.2561183001380414,5,0
121,60,20260885,5,enforce,B,A,random,alphazero-topology_gnn-7180ca466e1f,WHITE,False,10,0.49419029988348484,5,9
122,61,20260886,5,enforce,A,B,alphazero-topology_gnn-7180ca466e1f,random,BLACK,False,9,0.4718871000222862,7,5
123,61,20260886,5,enforce,B,A,random,alphazero-topology_gnn-7180ca466e1f,DRAW,False,2,0.03706520004197955,0,0
124,62,20260887,5,enforce,A,B,alphazero-topology_gnn-7180ca466e1f,random,BLACK,False,10,0.5856969999149442,6,3
125,62,20260887,5,enforce,B,A,random,alphazero-topology_gnn-7180ca466e1f,DRAW,False,2,0.05034009995870292,0,0
126,63,20260888,5,enforce,A,B,alphazero-topology_gnn-7180ca466e1f,random,BLACK,False,5,0.28884649998508394,5,0
