agent_a_id,eval_size,checkpoint_gradient_steps,agent_b_id,seed_receipts,completed_seed_receipts,failed_seed_receipts,games_completed,a_wins,a_losses,draws,a_score_rate,a_score_ci95_wilson,failure_reasons
grid_gnn,5,120,uct_mcts_16,5,5,0,100,47,49,4,0.49,"[0.3942183009238615, 0.5865215952256586]",[]
grid_gnn,5,160,uct_mcts_16,5,5,0,100,65,33,2,0.66,"[0.5627754565831095, 0.74538620502457]",[]
grid_gnn,5,200,uct_mcts_16,5,5,0,1000,484,439,77,0.5225,"[0.49151414246407926, 0.5533136470995331]",[]
grid_gnn,5,40,uct_mcts_16,5,5,0,100,46,48,6,0.49,"[0.3942183009238615, 0.5865215952256586]",[]
grid_gnn,5,80,uct_mcts_16,5,5,0,100,56,41,3,0.575,"[0.47710281304067864, 0.6673479658379209]",[]
grid_gnn,7,120,uct_mcts_16,5,5,0,100,66,25,9,0.705,"[0.6093733977484711, 0.785458731186368]",[]
grid_gnn,7,160,uct_mcts_16,5,5,0,100,61,30,9,0.655,"[0.5576536734747435, 0.740877936207696]",[]
grid_gnn,7,200,uct_mcts_16,5,5,0,1000,625,334,41,0.6455,"[0.6153455801304382, 0.6745407923809221]",[]
grid_gnn,7,40,uct_mcts_16,5,5,0,100,67,26,7,0.705,"[0.6093733977484711, 0.785458731186368]",[]
grid_gnn,7,80,uct_mcts_16,5,5,0,100,57,34,9,0.615,"[0.5170570413619614, 0.7044341529185582]",[]
grid_gnn,9,120,uct_mcts_16,5,5,0,100,82,16,2,0.83,"[0.7445181876635703, 0.8910652394022684]",[]
grid_gnn,9,160,uct_mcts_16,5,5,0,100,85,14,1,0.855,"[0.7728819822492878, 0.9108517044427509]",[]
grid_gnn,9,200,uct_mcts_16,5,5,0,1000,831,135,34,0.848,"[0.8244186211654393, 0.868917857418433]",[]
grid_gnn,9,40,uct_mcts_16,5,5,0,100,83,16,1,0.835,"[0.7501460432117084, 0.8950674357793702]",[]
grid_gnn,9,80,uct_mcts_16,5,5,0,100,83,16,1,0.835,"[0.7501460432117084, 0.8950674357793702]",[]
padded_cnn,5,120,uct_mcts_16,5,5,0,100,53,41,6,0.56,"[0.4622792771125631, 0.6532813459903167]",[]
padded_cnn,5,160,uct_mcts_16,5,5,0,100,51,39,10,0.56,"[0.4622792771125631, 0.6532813459903167]",[]
padded_cnn,5,200,uct_mcts_16,5,5,0,1000,487,424,89,0.5315,"[0.5005096950322447, 0.5622492103568126]",[]
padded_cnn,5,40,uct_mcts_16,5,5,0,100,39,59,2,0.4,"[0.3093997461136028, 0.4979992153815976]",[]
padded_cnn,5,80,uct_mcts_16,5,5,0,100,52,44,4,0.54,"[0.44264685393523856, 0.6343935614666815]",[]
padded_cnn,7,120,uct_mcts_16,5,5,0,100,62,31,7,0.655,"[0.5576536734747435, 0.740877936207696]",[]
padded_cnn,7,160,uct_mcts_16,5,5,0,100,69,27,4,0.71,"[0.6146092505999207, 0.7898529302601586]",[]
padded_cnn,7,200,uct_mcts_16,5,5,0,1000,695,274,31,0.7105,"[0.6816266138511903, 0.7377622618439393]",[]
padded_cnn,7,40,uct_mcts_16,5,5,0,100,56,41,3,0.575,"[0.47710281304067864, 0.6673479658379209]",[]
padded_cnn,7,80,uct_mcts_16,5,5,0,100,60,36,4,0.62,"[0.5220957382071033, 0.7090255079986562]",[]
padded_cnn,9,120,uct_mcts_16,5,5,0,100,80,19,1,0.805,"[0.7166803884185375, 0.8707527790211014]",[]
