agent_a_id,eval_size,agent_b_id,seed_receipts,completed_seed_receipts,failed_seed_receipts,games_completed,a_wins,a_losses,draws,a_score_rate,a_score_ci95_wilson,failure_reasons
grid_gnn,5,random,5,5,0,1000,760,59,181,0.8505,"[0.82705916166138, 0.8712581824295604]",[]
grid_gnn,5,uct_mcts_16,5,5,0,1000,484,439,77,0.5225,"[0.49151414246407926, 0.5533136470995331]",[]
grid_gnn,7,random,5,5,0,1000,842,59,99,0.8915,"[0.8707037904165309, 0.9092997479903253]",[]
grid_gnn,7,uct_mcts_16,5,5,0,1000,625,334,41,0.6455,"[0.6153455801304382, 0.6745407923809221]",[]
grid_gnn,9,random,5,5,0,1000,926,24,50,0.951,"[0.9358089847812472, 0.9627391526938285]",[]
grid_gnn,9,uct_mcts_16,5,5,0,1000,831,135,34,0.848,"[0.8244186211654393, 0.868917857418433]",[]
padded_cnn,5,random,5,5,0,1000,810,64,126,0.873,"[0.8509248154089186, 0.8922203182456341]",[]
padded_cnn,5,uct_mcts_16,5,5,0,1000,487,424,89,0.5315,"[0.5005096950322447, 0.5622492103568126]",[]
padded_cnn,7,random,5,5,0,1000,907,30,63,0.9385,"[0.9218654355062947, 0.9517783744334409]",[]
padded_cnn,7,uct_mcts_16,5,5,0,1000,695,274,31,0.7105,"[0.6816266138511903, 0.7377622618439393]",[]
padded_cnn,9,random,5,5,0,1000,967,11,22,0.978,"[0.9669140836251823, 0.9854274013262284]",[]
padded_cnn,9,uct_mcts_16,5,5,0,1000,907,80,13,0.9135,"[0.8944562780283987, 0.9293788768406563]",[]
topology_gnn,5,random,5,5,0,1000,781,56,163,0.8625,"[0.8397639619704436, 0.8824615365544235]",[]
topology_gnn,5,uct_mcts_16,5,5,0,1000,602,317,81,0.6425,"[0.6123014702382418, 0.6716078636646369]",[]
topology_gnn,7,random,5,5,0,1000,847,28,125,0.9095,"[0.8901158450038329, 0.9257499250539134]",[]
topology_gnn,7,uct_mcts_16,5,5,0,1000,691,261,48,0.715,"[0.686239728877674, 0.7421147047301779]",[]
topology_gnn,9,random,5,5,0,1000,913,16,71,0.9485,"[0.933003893937842, 0.9605633780301659]",[]
topology_gnn,9,uct_mcts_16,5,5,0,1000,848,97,55,0.8755,"[0.8535887240283843, 0.8945372751332364]",[]
